"ocean","bioregion","type","site","CO","categorization"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Jacques-Cartier Strait Sponge Conservation Area","Cold-water sponge protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Les Demoiselles nursery (Plaisance Bay), Magdalen Islands Closure","to protect habitat used as a nursery ground for juvenile lobster.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Lobster Area closures (Trout River, Shoal Point, Penguin Islands, Gooseberry Island, Glovers Harbour, Mouse Island and Gander Bay)","to increase lobster spawning and egg production.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Magdalen Islands lagoons (6 overlapping fisheries area closures)","to protect lobster habitat and conserve herring spawning areas.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Miramichi Bay Closure","Protect adult Atlantic salmon and an important migration corridor.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","North of Bennett Bank Coral Conservation Area","Cold-water coral protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Parent Bank Sponge Conservation Area","Cold-water sponge protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Saguenay Fjord Upstream Closure","to protect habitat for the beluga whale, a mammal designated as endangered and listed as threatened in the Species at Risk Act, and to avoid stirring up contaminants contained in the river's sediments.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Scallop Buffer Zones (SFA 21, 22, 24)","to protect juvenile lobster habitat.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Slope of Magdalen Shallows Coral Conservation Area","Cold-water coral protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","South-East of Anticosti Island Sponge Conservation Area","Cold-water sponge protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Western Honguedo Strait Coral Conservation Area","Cold-water coral protection","Robust"
"Atlantic","Gulf of Saint Lawrence","National Marine Conservation Area","Saguenay-St. Lawrence Marine Park","Ensure the protection of key components of the ecosystems and of other fragile, unique or highly representative elements.","Robust"
"Atlantic","Gulf of Saint Lawrence","National Marine Conservation Area","Saguenay-St. Lawrence Marine Park","Protect rare species and populations that in decline, threatened or vulnerable and, in particular, ensure the protection, restoration or improvement of habitats essential to the survival of species.","Robust"
"Atlantic","Gulf of Saint Lawrence","National Marine Conservation Area","Saguenay-St. Lawrence Marine Park","Foster the development of a culture of conservation in residents of the coordination zone.","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Eastport Marine Protected Area","Ensure the conservation and protection of threatened or endangered species","Robust"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Eastport Marine Protected Area","Maintain a viable population of American lobster through the conservation, protection, and sustainable use of resources and habitats within the Eastport Peninsula Lobster Management Area (EPLMA)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Gilbert Bay Marine Protected Area","Conservation and protection of the Gilbert Bay cod and its habitats","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Gilbert Bay Marine Protected Area","Conservation and protection of the Gilbert Bay ecosystem","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Protect corals, particularly significant concentrations of sea pens, from harm due to human activities (e.g., fishing, oil and gas exploratory drilling, submarine cable installation and anchoring)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Protect Black Dogfish from human induced mortality (e.g., bycatch in the commercial fishery)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Protect Smooth Skate from human induced mortality (e.g., bycatch in the commercial fishery)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Protect Porbeagle sharks from human induced mortality (e.g., bycatch in the commercial fishery, seismic activities)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Promote the survival and recovery of Northern Wolffish by minimizing risk of harm from human activities (e.g., bycatch in the commercial fishery)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","MPA","Laurentian Channel Marine Protected Area","Promote the survival and recovery of Leatherback Sea Turtles by minimizing risk of harm from human activities (e.g., entanglement in commercial fishing gear, seismic activities)","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","Marine Refuge","Division 3O Coral Closure","to protect coral and sponges.","Robust"
"Atlantic","Newfoundland-Labrador Shelves","Marine Refuge","Funk Island Deep Closure","Conserve benthic habitat and Atlantic cod","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","Marine Refuge","Hawke Channel Closure","Conserve benthic habitat and Atlantic cod","Vulnerable"
"Atlantic","Newfoundland-Labrador Shelves","Marine Refuge","Hopedale Saddle Closure","Protect corals and sponges and contribute to the long-term conservation of biodiversity.","Robust"
"Atlantic","Newfoundland-Labrador Shelves","Marine Refuge","Northeast Newfoundland Slope Closure","Protect corals and sponges and contribute to the long term conservation of biodiversity.","Robust"
"Atlantic","Scotian Shelf","MPA","Gully Marine Protected Area","minimize harmful impacts from human activities on cetacean populations and their habitats","Robust"
"Atlantic","Scotian Shelf","MPA","Gully Marine Protected Area","minimize the disturbance of seafloor habitat and associated benthic communities caused by human activities","Robust"
"Atlantic","Scotian Shelf","MPA","Gully Marine Protected Area","manage human activities to minimize impacts on other commercial and non-commercial living resources","Robust"
"Atlantic","Scotian Shelf","MPA","Gully Marine Protected Area","maintain and monitor the quality of water and sediments of the Gully","Vulnerable"
"Atlantic","Scotian Shelf","MPA","Musquash Estuary Marine Protected Area","Maintain productivity of harvested species","Robust"
"Atlantic","Scotian Shelf","MPA","Musquash Estuary Marine Protected Area","Maintain biodiversity of individual species, communities and populations within the different ecotypes","Robust"
"Atlantic","Scotian Shelf","MPA","Musquash Estuary Marine Protected Area","Safeguard habitat, including the physical and chemical properties of the ecosystem, by maintaining water and sediment quality","Vulnerable"
"Atlantic","Scotian Shelf","MPA","St. Anns Bank Marine Protected Area","Conserve and protect all major benthic, demersal (i.e., close to the sea floor) and pelagic (i.e., in the water column) habitats within the MPA, along with their associated physical, chemical, geological and biological properties and processes","Robust"
"Atlantic","Scotian Shelf","MPA","St. Anns Bank Marine Protected Area","Conserve and protect marine areas of high biodiversity at the community, species, population and genetic levels within the MPA","Robust"
"Atlantic","Scotian Shelf","MPA","St. Anns Bank Marine Protected Area","Conserve and protect biological productivity across all trophic levels so that they are able to fulfill their ecological role in the ecosystems of the MPA","Robust"
"Atlantic","Scotian Shelf","Marine Refuge","Corsair and Georges Canyons Conservation Area (restricted bottom fisheries zone)","to protect cold water corals.","Robust"
"Atlantic","Scotian Shelf","Marine Refuge","Eastern Canyons Conservation Area","to protect cold-water corals","Robust"
"Atlantic","Scotian Shelf","Marine Refuge","Eastern Canyons Conservation Area","to protect Lophelia pertusa coral reef","Vulnerable"
"Atlantic","Scotian Shelf","Marine Refuge","Emerald Basin and Sambro Bank Sponge Conservation Areas","to protect globally unique concentration of Vazella pourtalesi, a structure-forming species of glass sponge.","Vulnerable"
"Atlantic","Scotian Shelf","Marine Refuge","Jordan Basin Conservation Area","to protect cold water corals.","Robust"
"Atlantic","Scotian Shelf","Marine Refuge","Northeast Channel Coral Conservation Area (restricted bottom fisheries zone)","to protect cold water corals.","Robust"
"Atlantic","Scotian Shelf","Marine Refuge","Western/Emerald Banks Conservation Area (restricted fisheries zone)","Support productivity objectives for groundfish species of Aboriginal, commercial, and/or recreational importance, particularly NAFO Division 4VW haddock; Manage the disturbance of benthic habitat that supports juvenile and adult haddock and other groundfish species.","Vulnerable"
"Pacific","Northern Shelf","MPA","Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas","Conserve the biological diversity, structural habitat, and ecosystem function of the glass sponge reefs.","Robust"
"Pacific","Northern Shelf","Marine Refuge","Banks marine refuge","protect rockfish and their habitat, corals, and sponges.","Robust"
"Pacific","Northern Shelf","Marine Refuge","Gwa̲xdlala/Nala̲xdlala (Lull/Hoeya) marine refuge","Protect corals and sponges and contribute to long-term conservation and species biodiversity.","Robust"
"Pacific","Northern Shelf","Marine Refuge","G̱aw Ḵáahlii (Masset Inlet) marine refuge","protect ecologically and culturally important species and habitats, including salmon and seabirds.","Robust"
"Pacific","Northern Shelf","Marine Refuge","X̲aana K̲aahlii (Skidegate Inlet) marine refuge","protect ecologically and culturally important species and habitats, including salmon and seabirds.","Robust"
"Pacific","Northern Shelf","National Marine Conservation Area","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Protect and conserve habitats, species and food webs in Gwaii Haanas","Robust"
"Pacific","Northern Shelf","National Marine Conservation Area","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Restore habitats, species and food webs in Gwaii Haanas","Robust"
"Pacific","Northern Shelf","National Marine Conservation Area","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Ensure fisheries in Gwaii Haanas are ecologically sustainable","Robust"
"Pacific","Offshore Pacific","MPA","SGaan Kinghlas-Bowie Seamount Marine Protected Area","Conserve and protect the unique biodiversity and biological productivity of the area's marine ecosystem, including seamounts and the surrounding waters, seabed and subsoil.","Robust"
"Pacific","Offshore Pacific","MPA","Tanggwan - hacxwiquak-Tsigis Marine Protected Area","To conserve, protect and enhance understanding of unique seafloor features, including seamounts and hydrothermal vents, and the marine ecosystems they support in the  MPA.","Robust"
"Pacific","Strait of Georgia","Marine Refuge","Strait of Georgia and Howe Sound Glass Sponge Reef (17 fisheries area closures)","17 area closures to protect glass sponge reefs.","Robust"
