"type","mechanism","ocean","bioregion","site","conservation_objectives","prohibitions"
"Marine Refuge","Variation Order","Atlantic","Gulf of Saint Lawrence","Scallop Buffer Zones (SFA 21, 22, 24)","to protect juvenile lobster habitat.","Prohibits scallop dragging."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Slope of Magdalen Shallows Coral Conservation Area","Cold-water coral protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","South-East of Anticosti Island Sponge Conservation Area","Cold-water sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Western Honguedo Strait Coral Conservation Area","Cold-water coral protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Atlantic","Gulf of Saint Lawrence","Saguenay-St. Lawrence Marine Park","Ensure the protection of key components of the ecosystems and of other fragile, unique or highly representative elements.",NA
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Atlantic","Gulf of Saint Lawrence","Saguenay-St. Lawrence Marine Park","Protect rare species and populations that in decline, threatened or vulnerable and, in particular, ensure the protection, restoration or improvement of habitats essential to the survival of species.",NA
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Atlantic","Gulf of Saint Lawrence","Saguenay-St. Lawrence Marine Park","Foster the development of a culture of conservation in residents of the coordination zone.",NA
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Eastport Marine Protected Area","Maintain a viable population of American lobster through the conservation, protection, and sustainable use of resources and habitats within the Eastport Peninsula Lobster Management Area (EPLMA)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Eastport Marine Protected Area","Ensure the conservation and protection of threatened or endangered species","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Gilbert Bay Marine Protected Area","Conservation and protection of the Gilbert Bay cod and its habitats","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Gilbert Bay Marine Protected Area","Conservation and protection of the Gilbert Bay ecosystem","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Gilbert Bay Marine Protected Area","Facilitation of scientific research opportunities in the Gilbert Bay ecosystem","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Gilbert Bay Marine Protected Area","Promotion of public awareness, education, and support of the Gilbert Bay MPA","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Protect corals, particularly significant concentrations of sea pens, from harm due to human activities (e.g., fishing, oil and gas exploratory drilling, submarine cable installation and anchoring)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Protect Black Dogfish from human induced mortality (e.g., bycatch in the commercial fishery)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Protect Smooth Skate from human induced mortality (e.g., bycatch in the commercial fishery)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Protect Porbeagle sharks from human induced mortality (e.g., bycatch in the commercial fishery, seismic activities)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Promote the survival and recovery of Northern Wolffish by minimizing risk of harm from human activities (e.g., bycatch in the commercial fishery)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Newfoundland-Labrador Shelves","Laurentian Channel Marine Protected Area","Promote the survival and recovery of Leatherback Sea Turtles by minimizing risk of harm from human activities (e.g., entanglement in commercial fishing gear, seismic activities)","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or that is likely to do so, unless listed as exceptions in the regulations or approved by the minister"
"Marine Refuge","Licence Condition","Atlantic","Newfoundland-Labrador Shelves","Division 3O Coral Closure","to protect coral and sponges.","Prohibits all bottom fishing activities."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Newfoundland-Labrador Shelves","Funk Island Deep Closure","Conserve benthic habitat and Atlantic cod","Bottom trawl, gillnet, and longline."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Newfoundland-Labrador Shelves","Hawke Channel Closure","Conserve benthic habitat and Atlantic cod","Bottom trawl, gillnet, and longline."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Newfoundland-Labrador Shelves","Hopedale Saddle Closure","Protect corals and sponges and contribute to the long-term conservation of biodiversity.","All bottom-contact fishing activities."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Newfoundland-Labrador Shelves","Northeast Newfoundland Slope Closure","Protect corals and sponges and contribute to the long term conservation of biodiversity.","All bottom contact fishing activities."
"MPA","Oceans Act","Atlantic","Scotian Shelf","Gully Marine Protected Area","minimize harmful impacts from human activities on cetacean populations and their habitats","Prohibit any activities that disturb, damage, destroy or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Gully Marine Protected Area","minimize the disturbance of seafloor habitat and associated benthic communities caused by human activities","Prohibit any activities that disturb, damage, destroy or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Gully Marine Protected Area","maintain and monitor the quality of water and sediments of the Gully","Prohibit any activities that disturb, damage, destroy or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Gully Marine Protected Area","manage human activities to minimize impacts on other commercial and non-commercial living resources","Prohibit any activities that disturb, damage, destroy or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Musquash Estuary Marine Protected Area","Maintain productivity of harvested species","Prohibit activities that disturb, damage, destroy or remove from this area living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Musquash Estuary Marine Protected Area","Maintain biodiversity of individual species, communities and populations within the different ecotypes","Prohibit activities that disturb, damage, destroy or remove from this area living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","Musquash Estuary Marine Protected Area","Safeguard habitat, including the physical and chemical properties of the ecosystem, by maintaining water and sediment quality","Prohibit activities that disturb, damage, destroy or remove from this area living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","St. Anns Bank Marine Protected Area","Conserve and protect all major benthic, demersal (i.e., close to the sea floor) and pelagic (i.e., in the water column) habitats within the MPA, along with their associated physical, chemical, geological and biological properties and processes","Prohibit any activities that disturb, damage, or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","St. Anns Bank Marine Protected Area","Conserve and protect marine areas of high biodiversity at the community, species, population and genetic levels within the MPA","Prohibit any activities that disturb, damage, or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Scotian Shelf","St. Anns Bank Marine Protected Area","Conserve and protect biological productivity across all trophic levels so that they are able to fulfill their ecological role in the ecosystems of the MPA","Prohibit any activities that disturb, damage, or remove living marine organisms or any part of their habitat, unless the activity is listed as an exception in the regulations or approved by the minister"
"Marine Refuge","Condition of Licence","Atlantic","Scotian Shelf","Corsair and Georges Canyons Conservation Area (restricted bottom fisheries zone)","to protect cold water corals.","Prohibits all commercial bottom-contact fishing gear."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Scotian Shelf","Eastern Canyons Conservation Area","to protect cold-water corals and Lophelia pertusa coral reef.","Prohibits all commercial bottom-contact fishing gear."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Scotian Shelf","Emerald Basin and Sambro Bank Sponge Conservation Areas","to protect globally unique concentration of Vazella pourtalesi, a structure-forming species of glass sponge.","Prohibits all commercial bottom-contact fishing gear."
"Marine Refuge","Condition of Licence","Atlantic","Scotian Shelf","Jordan Basin Conservation Area","to protect cold water corals.","Prohibits all commercial bottom-contact fishing gear."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Scotian Shelf","Northeast Channel Coral Conservation Area (restricted bottom fisheries zone)","to protect cold water corals.","Prohibits all commercial bottom-contact fishing gear."
"Marine Refuge","Condition of Licence","Atlantic","Scotian Shelf","Western/Emerald Banks Conservation Area (restricted fisheries zone)","Support productivity objectives for groundfish species of Aboriginal, commercial, and/or recreational importance, particularly NAFO Division 4VW haddock; Manage the disturbance of benthic habitat that supports juvenile and adult haddock and other groundfish species.","Prohibits all commercial and recreational fisheries using bottom-contact gear and/or gear known to interact with groundfish."
